"age_cohort","ccs_code","disease","pct","relative_change"
"Age: 45-54",122,"Pneumonia (except that caused by tuberculosis or sexually transmitted disease)",0.2,0.0398641325120181
"Age: 45-54",125,"Acute bronchitis",0.2,0.0694403883063401
"Age: 45-54",126,"Other upper respiratory infections",0.2,0.0555193523740669
"Age: 45-54",127,"Chronic obstructive pulmonary disease and bronchiectasis",0.2,0.0304343520518335
"Age: 45-54",128,"Asthma",0.2,0.0116732690616649
"Age: 45-54",130,"Pleurisy; pneumothorax; pulmonary collapse",0.2,0.00562595309883995
"Age: 45-54",131,"Respiratory failure; insufficiency; arrest (adult)",0.2,0.00572399060285511
"Age: 45-54",133,"Other lower respiratory disease",0.2,0.0223397642933613
"Age: 45-54",246,"Fever of unknown origin",0.2,0.0375658400175143
"Age: 55-64",7,"Viral infection",0.2,0.00808127766316558
"Age: 55-64",122,"Pneumonia (except that caused by tuberculosis or sexually transmitted disease)",0.2,0.0356541715016155
"Age: 55-64",125,"Acute bronchitis",0.2,0.071628871989008
"Age: 55-64",126,"Other upper respiratory infections",0.2,0.0580826639220262
"Age: 55-64",127,"Chronic obstructive pulmonary disease and bronchiectasis",0.2,0.0158566455645451
"Age: 55-64",128,"Asthma",0.2,0.0105855041142674
"Age: 55-64",130,"Pleurisy; pneumothorax; pulmonary collapse",0.2,0.00449164593076745
"Age: 55-64",131,"Respiratory failure; insufficiency; arrest (adult)",0.2,0.00704771020529293
"Age: 55-64",133,"Other lower respiratory disease",0.2,0.0172353793181492
"Age: 55-64",246,"Fever of unknown origin",0.2,0.0281879026432331
"Age: >64",100,"Acute myocardial infarction",0.2,0.00680168699711692
"Age: >64",107,"Cardiac arrest and ventricular fibrillation",0.2,0.00985267788639099
"Age: >64",122,"Pneumonia (except that caused by tuberculosis or sexually transmitted disease)",0.2,0.032827507860446
"Age: >64",125,"Acute bronchitis",0.2,0.082970537789494
"Age: >64",126,"Other upper respiratory infections",0.2,0.0697920721610212
"Age: >64",129,"Aspiration pneumonitis; food/vomitus",0.2,0.0111908415649402
"Age: >64",130,"Pleurisy; pneumothorax; pulmonary collapse",0.2,0.00730167828954309
"Age: >64",131,"Respiratory failure; insufficiency; arrest (adult)",0.2,0.013195817739034
"Age: >64",133,"Other lower respiratory disease",0.2,0.0124380372955952
"Age: >64",246,"Fever of unknown origin",0.2,0.0195332436757402
